Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16512;"Review of Educational Research";journal;"00346543, 19351046";7,474;Q1;140;23;92;2973;1424;89;10,80;129,26;United States;Northern America;"SAGE Publications Inc.";"1931-2020";"Education (Q1)"
2;16965;"Internet and Higher Education";journal;"10967516";4,247;Q1;81;22;91;1195;1036;90;9,38;54,32;United Kingdom;Western Europe;"Elsevier BV";"1998-2020";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
3;13358;"Sociology of Education";journal;"00380407, 19398573";3,926;Q1;88;18;58;1433;256;51;4,50;79,61;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2020";"Education (Q1); Sociology and Political Science (Q1)"
4;5800194481;"Educational Researcher";journal;"0013189X";3,678;Q1;118;59;148;2524;763;134;4,36;42,78;United States;Northern America;"SAGE Publications Inc.";"1972-2020";"Education (Q1)"
5;21100783502;"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM";conference and proceedings;"-";3,592;-;3;0;5;0;59;3;0,00;0,00;United States;Northern America;"";"";"Computer Science Applications; Computer Science (miscellaneous); Education"
6;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";3,413;Q1;27;47;129;2048;732;111;5,77;43,57;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010, 2013-2020";"Education (Q1)"
7;12481;"Journal of Engineering Education";journal;"10694730, 21689830";3,288;Q1;101;37;93;2046;564;68;7,17;55,30;United States;Northern America;"Wiley-Blackwell";"1969-1978, 1993-1995, 1997-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
8;12808;"Journal of Educational Psychology";journal;"19392176, 00220663";3,272;Q1;196;148;221;5564;1270;207;5,52;37,59;United States;Northern America;"American Psychological Association Inc.";"1910-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
9;3900148216;"Studies in Second Language Acquisition";journal;"02722631";3,238;Q1;58;70;93;3831;412;91;4,16;54,73;United Kingdom;Western Europe;"Cambridge University Press";"1978-1996, 2005-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
10;29432;"American Educational Research Journal";journal;"00028312, 19351011";3,223;Q1;112;107;160;8294;824;145;5,96;77,51;United States;Northern America;"SAGE Publications Ltd";"1978, 1982, 1986, 1996-2020";"Education (Q1)"
11;4700152248;"Educational Research Review";journal;"1747938X";3,216;Q1;57;38;77;3959;831;72;11,21;104,18;Netherlands;Western Europe;"Elsevier Ltd.";"2006-2020";"Education (Q1)"
12;21100199107;"Education Finance and Policy";journal;"15573079, 15573060";3,214;Q1;21;18;57;683;169;56;2,83;37,94;United States;Northern America;"MIT Press Journals";"2011-2020";"Education (Q1)"
13;19726;"Educational Evaluation and Policy Analysis";journal;"01623737, 19351062";3,210;Q1;73;22;81;1070;343;79;4,00;48,64;United States;Northern America;"SAGE Publications Inc.";"1979-1982, 1996-2020";"Education (Q1)"
14;13354;"Journal of Teacher Education";journal;"00224871, 15527816";3,142;Q1;84;63;104;3815;490;86;4,93;60,56;United States;Northern America;"SAGE Publications Inc.";"1950-2020";"Education (Q1)"
15;21100451321;"Scientific data";journal;"20524463";3,099;Q1;48;379;670;3038;4577;594;5,93;8,02;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2020";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
16;13502;"Developmental Review";journal;"02732297, 10902406";3,083;Q1;88;16;60;2299;443;59;5,22;143,69;United States;Northern America;"Mosby Inc.";"1981-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
17;17645;"Computers and Education";journal;"03601315";3,047;Q1;164;199;527;13969;5156;522;8,54;70,20;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)"
18;23621;"Journal of Research in Science Teaching";journal;"10982736, 00224308";3,012;Q1;121;75;177;5736;909;170;5,18;76,48;United States;Northern America;"John Wiley and Sons Inc.";"1963-1967, 1969-2020";"Education (Q1)"
19;11800154593;"Strategic Organization";journal;"1741315X, 14761270";2,987;Q1;51;41;82;3389;405;69;4,49;82,66;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
20;21424;"Journal for Research in Mathematics Education";journal;"00218251";2,916;Q1;74;23;68;1230;187;63;2,81;53,48;United States;Northern America;"National Council of Teachers of Mathematics";"1996-2020";"Education (Q1); Mathematics (miscellaneous) (Q1)"
21;24456;"Child Development";journal;"14678624, 00093920";2,880;Q1;243;285;515;17148;2751;491;5,61;60,17;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1945-1948, 1950-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
22;19725;"Educational Administration Quarterly";journal;"0013161X, 15523519";2,791;Q1;75;34;77;2874;316;73;3,06;84,53;United States;Northern America;"SAGE Publications Inc.";"1965-2020";"Education (Q1); Public Administration (Q1)"
23;4700152632;"International Journal of Computer-Supported Collaborative Learning";journal;"15561607, 15561615";2,772;Q1;50;22;65;1346;349;53;6,89;61,18;Germany;Western Europe;"Springer Publishing Company";"2006-2019";"Education (Q1); Human-Computer Interaction (Q1)"
24;22055;"Exceptional Children";journal;"00144029";2,765;Q1;85;24;95;1225;347;67;4,95;51,04;United States;Northern America;"SAGE Publications Inc.";"1936-1937, 1958, 1961-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
25;13455;"Learning and Instruction";journal;"09594752";2,647;Q1;108;87;226;5278;1221;216;4,09;60,67;United Kingdom;Western Europe;"Elsevier BV";"1991-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
26;23167;"Language Teaching Research";journal;"13621688, 14770954";2,596;Q1;50;89;139;4796;444;102;3,91;53,89;United States;Northern America;"SAGE Publications Ltd";"1997-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
27;19700187625;"Journal of Research on Educational Effectiveness";journal;"19345739, 19345747";2,591;Q1;31;36;112;1987;363;93;4,32;55,19;United States;Northern America;"Routledge";"2008-2020";"Education (Q1)"
28;13357;"Journal of the Learning Sciences";journal;"10508406, 15327809";2,569;Q1;89;22;61;1353;298;49;5,39;61,50;United States;Northern America;"Routledge";"1991-1992, 1994-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
29;23145;"Language Learning";journal;"14679922, 00238333";2,404;Q1;95;47;138;3196;478;129;4,36;68,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
30;19700201158;"Studies in Science Education";journal;"19408412, 03057267";2,319;Q1;42;6;18;1025;91;18;4,15;170,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2020";"Education (Q1)"
31;16514;"Review of Research in Education";journal;"0091732X, 19351038";2,312;Q1;55;17;58;1822;277;55;5,82;107,18;United States;Northern America;"SAGE Publications Inc.";"1973-1981, 1983-1988, 1990-2000, 2002-2019";"Education (Q1)"
32;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";2,296;Q1;32;28;52;1980;188;50;3,50;70,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2020";"Education (Q1); Sociology and Political Science (Q1)"
33;21100896685;"Cours specialises";book series;"12846090";2,274;Q1;1;0;1;0;7;1;7,00;0,00;France;Western Europe;"Societe Mathematique de France";"2018";"Education (Q1); Mathematics (miscellaneous) (Q1)"
34;20323;"Journal of Education Policy";journal;"02680939, 14645106";2,274;Q1;73;78;142;5400;616;133;4,12;69,23;United Kingdom;Western Europe;"Routledge";"1986-2020";"Education (Q1)"
35;26493;"Academic Medicine";journal;"10402446, 1938808X";2,263;Q1;143;526;1514;7644;3545;914;3,55;14,53;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1940-1941, 1945, 1953-1956, 1959, 1961, 1964-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
36;12006;"Journal of Vocational Behavior";journal;"10959084, 00018791";2,210;Q1;141;119;242;9734;1391;236;5,40;81,80;United States;Northern America;"Academic Press Inc.";"1971-2020";"Applied Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1)"
37;12882;"Contemporary Educational Psychology";journal;"0361476X, 10902384";2,152;Q1;99;88;190;6904;802;187;3,86;78,45;United States;Northern America;"Academic Press Inc.";"1976-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
38;14723;"Urban Education";journal;"00420859, 15528340";2,075;Q1;52;99;186;6285;491;137;3,48;63,48;United States;Northern America;"SAGE Publications Inc.";"1965-2020";"Education (Q1); Urban Studies (Q1)"
39;5700168406;"Active Learning in Higher Education";journal;"14697874, 17412625";2,070;Q1;44;30;81;1300;274;51;4,94;43,33;United States;Northern America;"SAGE Publications Ltd";"2000-2020";"Education (Q1)"
40;16055;"Reading Research Quarterly";journal;"00340553";2,060;Q1;86;44;83;3601;269;68;4,40;81,84;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
41;23626;"Science Education";journal;"00368326, 1098237X";2,012;Q1;108;63;145;4708;527;139;3,68;74,73;United States;Northern America;"Wiley-Liss Inc.";"1930-2020";"Education (Q1); History and Philosophy of Science (Q1)"
